"";"id1";"id2";"tradeno";"bid1";"bid2";"payoff1";"payoff2"
"128";12;6;128;"defect";"cooperate";5;0
"129";13;12;129;"defect";"defect";2;2
"130";2;6;130;"cooperate";"defect";0;5
"131";10;5;131;"cooperate";"cooperate";4;4
"132";7;3;132;"defect";"defect";2;2
"133";9;16;133;"defect";"cooperate";5;0
"134";14;11;134;"cooperate";"cooperate";4;4
"135";1;8;135;"cooperate";"cooperate";4;4
"136";4;15;136;"cooperate";"cooperate";4;4
"137";15;5;137;"cooperate";"cooperate";4;4
"138";12;4;138;"defect";"defect";2;2
"139";9;14;139;"defect";"defect";2;2
"140";1;6;140;"cooperate";"defect";0;5
"141";2;10;141;"cooperate";"cooperate";4;4
"142";3;7;142;"defect";"defect";2;2
"143";13;16;143;"defect";"cooperate";5;0
"144";11;8;144;"cooperate";"cooperate";4;4
"145";7;12;145;"defect";"defect";2;2
"146";8;2;146;"cooperate";"cooperate";4;4
"147";5;13;147;"cooperate";"cooperate";4;4
"148";1;14;148;"cooperate";"defect";0;5
"149";4;6;149;"cooperate";"cooperate";4;4
"150";11;15;150;"cooperate";"cooperate";4;4
"151";9;3;151;"defect";"defect";2;2
"152";10;16;152;"cooperate";"cooperate";4;4
"153";4;9;153;"defect";"defect";2;2
"154";13;12;154;"cooperate";"cooperate";4;4
"155";15;8;155;"cooperate";"cooperate";4;4
"156";16;3;156;"cooperate";"defect";0;5
"157";11;6;157;"defect";"defect";2;2
"158";5;1;158;"cooperate";"cooperate";4;4
"159";2;14;159;"cooperate";"defect";0;5
"160";10;7;160;"cooperate";"cooperate";4;4
"161";13;1;161;"cooperate";"cooperate";4;4
"162";10;14;162;"cooperate";"cooperate";4;4
"163";6;4;163;"cooperate";"cooperate";4;4
"164";5;7;164;"cooperate";"cooperate";4;4
"165";15;8;165;"cooperate";"cooperate";4;4
"166";16;9;166;"cooperate";"defect";0;5
"167";2;3;167;"cooperate";"defect";0;5
"168";11;12;168;"cooperate";"cooperate";4;4
"169";5;4;169;"cooperate";"cooperate";4;4
"170";3;9;170;"defect";"defect";2;2
"171";14;16;171;"cooperate";"cooperate";4;4
"172";2;15;172;"cooperate";"cooperate";4;4
"173";12;13;173;"cooperate";"cooperate";4;4
"174";1;7;174;"cooperate";"cooperate";4;4
"175";6;10;175;"cooperate";"cooperate";4;4
"176";11;8;176;"defect";"cooperate";5;0
"177";10;7;177;"cooperate";"cooperate";4;4
"178";1;15;178;"cooperate";"cooperate";4;4
"179";8;12;179;"cooperate";"defect";0;5
"180";4;16;180;"cooperate";"cooperate";4;4
"181";3;14;181;"defect";"defect";2;2
"182";11;5;182;"cooperate";"cooperate";4;4
"183";6;13;183;"defect";"defect";2;2
"184";9;2;184;"defect";"cooperate";5;0
"185";8;4;185;"cooperate";"cooperate";4;4
"186";11;6;186;"cooperate";"cooperate";4;4
"187";2;1;187;"cooperate";"cooperate";4;4
"188";13;16;188;"cooperate";"cooperate";4;4
"189";3;7;189;"defect";"defect";2;2
"190";14;5;190;"cooperate";"cooperate";4;4
"191";15;9;191;"cooperate";"defect";0;5
"192";12;10;192;"defect";"cooperate";5;0
"193";9;4;193;"defect";"defect";2;2
"194";15;12;194;"cooperate";"defect";0;5
"195";3;8;195;"defect";"defect";2;2
"196";6;14;196;"cooperate";"cooperate";4;4
"197";13;16;197;"cooperate";"cooperate";4;4
"198";7;5;198;"cooperate";"cooperate";4;4
"199";11;10;199;"cooperate";"cooperate";4;4
"200";1;2;200;"cooperate";"cooperate";4;4
"201";8;9;201;"defect";"defect";2;2
"202";13;5;202;"cooperate";"cooperate";4;4
"203";14;16;203;"defect";"cooperate";5;0
"204";7;15;204;"cooperate";"cooperate";4;4
"205";11;12;205;"cooperate";"cooperate";4;4
"206";1;4;206;"cooperate";"cooperate";4;4
"207";10;6;207;"cooperate";"defect";0;5
"208";3;2;208;"defect";"cooperate";5;0
"209";8;6;209;"cooperate";"cooperate";4;4
"210";13;11;210;"cooperate";"cooperate";4;4
"211";16;1;211;"cooperate";"cooperate";4;4
"212";15;4;212;"cooperate";"cooperate";4;4
"213";12;2;213;"defect";"cooperate";5;0
"214";7;5;214;"cooperate";"cooperate";4;4
"215";14;3;215;"defect";"defect";2;2
"216";10;9;216;"cooperate";"defect";0;5
"217";2;13;217;"cooperate";"defect";0;5
"218";7;11;218;"cooperate";"cooperate";4;4
"219";1;5;219;"cooperate";"cooperate";4;4
"220";12;3;220;"defect";"defect";2;2
"221";16;4;221;"cooperate";"cooperate";4;4
"222";10;9;222;"cooperate";"defect";0;5
"223";14;6;223;"cooperate";"cooperate";4;4
"224";15;8;224;"cooperate";"cooperate";4;4
"225";14;12;225;"cooperate";"defect";0;5
"226";2;4;226;"cooperate";"cooperate";4;4
"227";6;10;227;"cooperate";"cooperate";4;4
"228";9;11;228;"defect";"defect";2;2
"229";5;7;229;"cooperate";"cooperate";4;4
"230";3;16;230;"defect";"cooperate";5;0
"231";13;15;231;"cooperate";"cooperate";4;4
"232";1;8;232;"cooperate";"cooperate";4;4
"233";12;11;233;"cooperate";"cooperate";4;4
"234";8;6;234;"cooperate";"defect";0;5
"235";13;15;235;"defect";"cooperate";5;0
"236";16;5;236;"cooperate";"cooperate";4;4
"237";10;1;237;"cooperate";"cooperate";4;4
"238";4;2;238;"cooperate";"cooperate";4;4
"239";3;7;239;"defect";"defect";2;2
"240";9;14;240;"defect";"defect";2;2
"241";13;5;241;"defect";"cooperate";5;0
"242";15;3;242;"cooperate";"defect";0;5
"243";1;8;243;"cooperate";"cooperate";4;4
"244";7;14;244;"cooperate";"defect";0;5
"245";11;6;245;"cooperate";"cooperate";4;4
"246";12;4;246;"cooperate";"defect";0;5
"247";2;10;247;"cooperate";"cooperate";4;4
"248";16;9;248;"cooperate";"defect";0;5
"249";4;13;249;"cooperate";"cooperate";4;4
"250";8;2;250;"cooperate";"cooperate";4;4
"251";15;5;251;"cooperate";"cooperate";4;4
"252";12;1;252;"defect";"cooperate";5;0
"253";7;9;253;"defect";"defect";2;2
"254";10;14;254;"cooperate";"cooperate";4;4
"255";16;6;255;"cooperate";"defect";0;5
"256";3;11;256;"defect";"defect";2;2
"257";3;4;257;"defect";"defect";2;2
"258";10;6;258;"cooperate";"cooperate";4;4
"259";14;8;259;"cooperate";"cooperate";4;4
"260";1;5;260;"cooperate";"cooperate";4;4
"261";13;11;261;"cooperate";"cooperate";4;4
"262";15;16;262;"cooperate";"cooperate";4;4
"263";9;2;263;"defect";"cooperate";5;0
"264";12;7;264;"cooperate";"defect";0;5
"265";6;5;265;"cooperate";"cooperate";4;4
"266";8;7;266;"cooperate";"cooperate";4;4
"267";14;16;267;"cooperate";"cooperate";4;4
"268";4;11;268;"cooperate";"cooperate";4;4
"269";1;10;269;"cooperate";"cooperate";4;4
"270";9;13;270;"defect";"defect";2;2
"271";15;3;271;"cooperate";"defect";0;5
"272";12;2;272;"defect";"cooperate";5;0
"273";7;8;273;"cooperate";"cooperate";4;4
"274";14;4;274;"defect";"cooperate";5;0
"275";11;6;275;"cooperate";"cooperate";4;4
"276";13;12;276;"cooperate";"cooperate";4;4
"277";15;1;277;"cooperate";"cooperate";4;4
"278";9;2;278;"defect";"cooperate";5;0
"279";5;3;279;"cooperate";"defect";0;5
"280";10;16;280;"cooperate";"cooperate";4;4
"281";12;15;281;"defect";"cooperate";5;0
"282";5;16;282;"cooperate";"cooperate";4;4
"283";11;9;283;"defect";"defect";2;2
"284";6;7;284;"cooperate";"cooperate";4;4
"285";13;4;285;"defect";"cooperate";5;0
"286";8;3;286;"defect";"defect";2;2
"287";1;14;287;"cooperate";"cooperate";4;4
"288";2;10;288;"cooperate";"cooperate";4;4
"289";5;6;289;"cooperate";"cooperate";4;4
"290";14;13;290;"cooperate";"cooperate";4;4
"291";4;3;291;"defect";"defect";2;2
"292";7;10;292;"cooperate";"cooperate";4;4
"293";16;1;293;"cooperate";"cooperate";4;4
"294";8;11;294;"cooperate";"cooperate";4;4
"295";15;12;295;"cooperate";"defect";0;5
"296";2;9;296;"cooperate";"defect";0;5
"297";5;1;297;"cooperate";"cooperate";4;4
"298";12;16;298;"defect";"cooperate";5;0
"299";14;2;299;"cooperate";"cooperate";4;4
"300";8;13;300;"cooperate";"cooperate";4;4
"301";4;3;301;"defect";"defect";2;2
"302";9;10;302;"defect";"cooperate";5;0
"303";6;11;303;"cooperate";"cooperate";4;4
"304";7;15;304;"cooperate";"cooperate";4;4
"305";12;11;305;"cooperate";"cooperate";4;4
"306";8;9;306;"defect";"defect";2;2
"307";3;5;307;"defect";"cooperate";5;0
"308";7;1;308;"cooperate";"cooperate";4;4
"309";16;14;309;"cooperate";"cooperate";4;4
"310";13;15;310;"cooperate";"cooperate";4;4
"311";10;4;311;"cooperate";"cooperate";4;4
"312";6;2;312;"cooperate";"cooperate";4;4
"313";2;12;313;"cooperate";"defect";0;5
"314";4;9;314;"defect";"defect";2;2
"315";7;10;315;"cooperate";"cooperate";4;4
"316";8;13;316;"cooperate";"cooperate";4;4
"317";1;14;317;"cooperate";"cooperate";4;4
"318";15;11;318;"cooperate";"defect";0;5
"319";6;16;319;"cooperate";"cooperate";4;4
"320";3;5;320;"defect";"cooperate";5;0
"321";2;5;321;"cooperate";"cooperate";4;4
"322";1;16;322;"cooperate";"cooperate";4;4
"323";9;6;323;"defect";"defect";2;2
"324";10;13;324;"cooperate";"cooperate";4;4
"325";7;8;325;"cooperate";"cooperate";4;4
"326";3;15;326;"defect";"cooperate";5;0
"327";14;11;327;"defect";"defect";2;2
"328";12;4;328;"cooperate";"cooperate";4;4
"329";2;10;329;"cooperate";"cooperate";4;4
"330";3;14;330;"defect";"defect";2;2
"331";9;13;331;"defect";"defect";2;2
"332";1;5;332;"cooperate";"cooperate";4;4
"333";4;12;333;"cooperate";"cooperate";4;4
"334";16;11;334;"cooperate";"cooperate";4;4
"335";6;15;335;"cooperate";"cooperate";4;4
"336";8;7;336;"cooperate";"cooperate";4;4
"337";9;12;337;"defect";"defect";2;2
"338";8;15;338;"cooperate";"cooperate";4;4
"339";10;1;339;"cooperate";"cooperate";4;4
"340";16;6;340;"cooperate";"cooperate";4;4
"341";5;11;341;"cooperate";"cooperate";4;4
"342";14;3;342;"defect";"defect";2;2
"343";4;7;343;"cooperate";"cooperate";4;4
"344";13;2;344;"defect";"cooperate";5;0
"345";15;3;345;"cooperate";"defect";0;5
"346";4;5;346;"cooperate";"cooperate";4;4
"347";13;9;347;"defect";"defect";2;2
"348";1;6;348;"cooperate";"cooperate";4;4
"349";11;10;349;"defect";"cooperate";5;0
"350";2;12;350;"cooperate";"cooperate";4;4
"351";7;8;351;"cooperate";"cooperate";4;4
"352";16;14;352;"cooperate";"defect";0;5
"353";14;8;353;"defect";"cooperate";5;0
"354";1;16;354;"cooperate";"cooperate";4;4
"355";11;2;355;"cooperate";"cooperate";4;4
"356";6;10;356;"defect";"cooperate";5;0
"357";9;12;357;"defect";"defect";2;2
"358";7;3;358;"defect";"defect";2;2
"359";15;13;359;"cooperate";"cooperate";4;4
"360";4;5;360;"cooperate";"cooperate";4;4
"361";9;10;361;"defect";"cooperate";5;0
"362";16;12;362;"cooperate";"defect";0;5
"363";4;6;363;"cooperate";"cooperate";4;4
"364";5;1;364;"cooperate";"cooperate";4;4
"365";7;2;365;"cooperate";"cooperate";4;4
"366";13;3;366;"defect";"defect";2;2
"367";15;8;367;"cooperate";"cooperate";4;4
"368";14;11;368;"cooperate";"cooperate";4;4
"369";7;1;369;"cooperate";"cooperate";4;4
"370";12;5;370;"defect";"cooperate";5;0
"371";11;10;371;"cooperate";"cooperate";4;4
"372";3;14;372;"defect";"defect";2;2
"373";4;2;373;"cooperate";"cooperate";4;4
"374";6;16;374;"defect";"cooperate";5;0
"375";15;8;375;"cooperate";"cooperate";4;4
"376";13;9;376;"defect";"defect";2;2
"377";7;9;377;"defect";"defect";2;2
"378";12;4;378;"cooperate";"cooperate";4;4
"379";6;10;379;"defect";"cooperate";5;0
"380";11;14;380;"cooperate";"cooperate";4;4
"381";13;1;381;"defect";"cooperate";5;0
"382";2;5;382;"cooperate";"cooperate";4;4
"383";8;3;383;"defect";"defect";2;2
"384";16;15;384;"cooperate";"cooperate";4;4
"385";13;8;385;"defect";"cooperate";5;0
"386";14;10;386;"defect";"cooperate";5;0
"387";2;7;387;"cooperate";"cooperate";4;4
"388";6;12;388;"defect";"defect";2;2
"389";16;5;389;"cooperate";"cooperate";4;4
"390";15;4;390;"cooperate";"cooperate";4;4
"391";3;9;391;"defect";"defect";2;2
"392";1;11;392;"cooperate";"defect";0;5
"393";4;7;393;"cooperate";"cooperate";4;4
"394";3;15;394;"defect";"cooperate";5;0
"395";10;13;395;"cooperate";"defect";0;5
"396";8;9;396;"defect";"defect";2;2
"397";2;14;397;"cooperate";"cooperate";4;4
"398";5;1;398;"cooperate";"cooperate";4;4
"399";11;6;399;"cooperate";"cooperate";4;4
"400";12;16;400;"defect";"cooperate";5;0
"401";16;11;401;"cooperate";"cooperate";4;4
"402";3;7;402;"defect";"defect";2;2
"403";6;15;403;"cooperate";"cooperate";4;4
"404";2;12;404;"cooperate";"defect";0;5
"405";4;13;405;"defect";"cooperate";5;0
"406";5;1;406;"cooperate";"cooperate";4;4
"407";10;14;407;"cooperate";"defect";0;5
"408";8;9;408;"defect";"defect";2;2
"409";9;5;409;"defect";"cooperate";5;0
"410";4;11;410;"cooperate";"defect";0;5
"411";13;3;411;"defect";"defect";2;2
"412";8;14;412;"cooperate";"cooperate";4;4
"413";7;10;413;"cooperate";"cooperate";4;4
"414";1;16;414;"cooperate";"cooperate";4;4
"415";2;15;415;"cooperate";"cooperate";4;4
"416";6;12;416;"cooperate";"cooperate";4;4
"417";7;9;417;"defect";"defect";2;2
"418";13;10;418;"cooperate";"cooperate";4;4
"419";5;16;419;"cooperate";"cooperate";4;4
"420";3;8;420;"defect";"defect";2;2
"421";6;1;421;"cooperate";"cooperate";4;4
"422";14;11;422;"cooperate";"cooperate";4;4
"423";15;12;423;"cooperate";"cooperate";4;4
"424";4;2;424;"cooperate";"cooperate";4;4
"425";7;3;425;"defect";"defect";2;2
"426";9;16;426;"defect";"cooperate";5;0
"427";12;1;427;"cooperate";"cooperate";4;4
"428";6;5;428;"defect";"cooperate";5;0
"429";2;15;429;"cooperate";"cooperate";4;4
"430";8;10;430;"cooperate";"cooperate";4;4
"431";11;4;431;"cooperate";"defect";0;5
"432";14;13;432;"defect";"defect";2;2
"433";6;2;433;"cooperate";"cooperate";4;4
"434";11;14;434;"cooperate";"cooperate";4;4
"435";9;1;435;"defect";"cooperate";5;0
"436";5;12;436;"cooperate";"defect";0;5
"437";10;8;437;"cooperate";"cooperate";4;4
"438";4;7;438;"cooperate";"cooperate";4;4
"439";15;3;439;"cooperate";"defect";0;5
"440";13;16;440;"defect";"cooperate";5;0
"441";10;16;441;"cooperate";"cooperate";4;4
"442";2;8;442;"cooperate";"cooperate";4;4
"443";5;9;443;"cooperate";"defect";0;5
"444";6;14;444;"cooperate";"cooperate";4;4
"445";13;4;445;"cooperate";"cooperate";4;4
"446";11;12;446;"cooperate";"cooperate";4;4
"447";7;3;447;"defect";"defect";2;2
"448";1;15;448;"cooperate";"cooperate";4;4
"449";7;8;449;"cooperate";"cooperate";4;4
"450";14;9;450;"defect";"defect";2;2
"451";11;12;451;"cooperate";"cooperate";4;4
"452";6;5;452;"defect";"cooperate";5;0
"453";1;2;453;"cooperate";"cooperate";4;4
"454";13;3;454;"defect";"defect";2;2
"455";16;15;455;"cooperate";"cooperate";4;4
"456";10;4;456;"cooperate";"cooperate";4;4
"457";6;12;457;"cooperate";"cooperate";4;4
"458";9;3;458;"defect";"defect";2;2
"459";15;2;459;"cooperate";"cooperate";4;4
"460";13;11;460;"cooperate";"cooperate";4;4
"461";16;10;461;"cooperate";"cooperate";4;4
"462";14;1;462;"defect";"cooperate";5;0
"463";7;4;463;"cooperate";"cooperate";4;4
"464";5;8;464;"cooperate";"cooperate";4;4
"465";10;9;465;"cooperate";"defect";0;5
"466";6;3;466;"defect";"defect";2;2
"467";12;8;467;"cooperate";"defect";0;5
"468";16;11;468;"cooperate";"defect";0;5
"469";15;5;469;"cooperate";"cooperate";4;4
"470";7;1;470;"cooperate";"cooperate";4;4
"471";14;4;471;"cooperate";"defect";0;5
"472";2;13;472;"cooperate";"defect";0;5
"473";14;5;473;"defect";"cooperate";5;0
"474";15;2;474;"cooperate";"cooperate";4;4
"475";4;12;475;"cooperate";"cooperate";4;4
"476";11;7;476;"cooperate";"cooperate";4;4
"477";1;8;477;"cooperate";"cooperate";4;4
"478";10;13;478;"cooperate";"cooperate";4;4
"479";3;6;479;"defect";"defect";2;2
"480";9;16;480;"defect";"cooperate";5;0
"481";4;9;481;"defect";"defect";2;2
"482";12;11;482;"cooperate";"cooperate";4;4
"483";5;6;483;"cooperate";"defect";0;5
"484";8;13;484;"cooperate";"defect";0;5
"485";10;1;485;"cooperate";"cooperate";4;4
"486";15;3;486;"cooperate";"defect";0;5
"487";7;16;487;"cooperate";"cooperate";4;4
"488";14;2;488;"defect";"cooperate";5;0
"489";15;7;489;"cooperate";"cooperate";4;4
"490";5;3;490;"cooperate";"defect";0;5
"491";8;16;491;"cooperate";"cooperate";4;4
"492";10;2;492;"cooperate";"cooperate";4;4
"493";13;4;493;"cooperate";"cooperate";4;4
"494";9;14;494;"defect";"defect";2;2
"495";6;11;495;"cooperate";"cooperate";4;4
"496";12;1;496;"defect";"cooperate";5;0
"497";15;11;497;"cooperate";"cooperate";4;4
"498";9;1;498;"defect";"cooperate";5;0
"499";3;8;499;"defect";"defect";2;2
"500";6;14;500;"cooperate";"cooperate";4;4
"501";2;16;501;"cooperate";"cooperate";4;4
"502";5;4;502;"cooperate";"cooperate";4;4
"503";10;12;503;"cooperate";"defect";0;5
"504";7;13;504;"cooperate";"cooperate";4;4
"505";6;7;505;"defect";"cooperate";5;0
"506";9;4;506;"defect";"defect";2;2
"507";2;12;507;"cooperate";"defect";0;5
"508";15;3;508;"cooperate";"defect";0;5
"509";11;13;509;"cooperate";"cooperate";4;4
"510";8;5;510;"cooperate";"cooperate";4;4
"511";10;16;511;"cooperate";"cooperate";4;4
"512";1;14;512;"cooperate";"defect";0;5
"513";7;10;513;"cooperate";"cooperate";4;4
"514";12;11;514;"cooperate";"cooperate";4;4
"515";4;8;515;"cooperate";"cooperate";4;4
"516";1;2;516;"cooperate";"cooperate";4;4
"517";6;5;517;"defect";"cooperate";5;0
"518";3;13;518;"defect";"defect";2;2
"519";14;9;519;"defect";"defect";2;2
"520";15;16;520;"cooperate";"cooperate";4;4
"521";16;7;521;"cooperate";"cooperate";4;4
"522";5;15;522;"cooperate";"cooperate";4;4
"523";13;6;523;"cooperate";"cooperate";4;4
"524";4;3;524;"defect";"defect";2;2
"525";1;12;525;"cooperate";"defect";0;5
"526";10;14;526;"cooperate";"defect";0;5
"527";9;8;527;"defect";"defect";2;2
"528";2;11;528;"cooperate";"defect";0;5
"529";6;13;529;"cooperate";"cooperate";4;4
"530";14;4;530;"cooperate";"cooperate";4;4
"531";7;3;531;"defect";"defect";2;2
"532";2;12;532;"cooperate";"defect";0;5
"533";8;10;533;"cooperate";"cooperate";4;4
"534";16;5;534;"cooperate";"cooperate";4;4
"535";11;1;535;"cooperate";"cooperate";4;4
"536";9;15;536;"defect";"cooperate";5;0
"537";6;8;537;"cooperate";"cooperate";4;4
"538";15;9;538;"cooperate";"defect";0;5
"539";12;3;539;"defect";"defect";2;2
"540";4;5;540;"cooperate";"cooperate";4;4
"541";7;10;541;"cooperate";"cooperate";4;4
"542";16;14;542;"cooperate";"defect";0;5
"543";13;1;543;"cooperate";"cooperate";4;4
"544";11;2;544;"cooperate";"cooperate";4;4
"545";9;1;545;"defect";"cooperate";5;0
"546";12;13;546;"cooperate";"cooperate";4;4
"547";6;3;547;"defect";"defect";2;2
"548";2;11;548;"cooperate";"cooperate";4;4
"549";10;15;549;"cooperate";"cooperate";4;4
"550";16;8;550;"cooperate";"cooperate";4;4
"551";14;4;551;"cooperate";"cooperate";4;4
"552";5;7;552;"cooperate";"cooperate";4;4
"553";5;15;553;"cooperate";"cooperate";4;4
"554";11;9;554;"defect";"defect";2;2
"555";7;1;555;"cooperate";"cooperate";4;4
"556";14;10;556;"defect";"cooperate";5;0
"557";8;4;557;"cooperate";"cooperate";4;4
"558";6;2;558;"defect";"cooperate";5;0
"559";16;3;559;"cooperate";"defect";0;5
"560";12;13;560;"cooperate";"cooperate";4;4
"561";3;1;561;"defect";"cooperate";5;0
"562";10;5;562;"cooperate";"cooperate";4;4
"563";11;2;563;"defect";"cooperate";5;0
"564";13;9;564;"defect";"defect";2;2
"565";14;12;565;"defect";"defect";2;2
"566";4;16;566;"cooperate";"cooperate";4;4
"567";8;15;567;"cooperate";"cooperate";4;4
"568";6;7;568;"cooperate";"cooperate";4;4
"569";9;6;569;"defect";"defect";2;2
"570";10;15;570;"cooperate";"cooperate";4;4
"571";5;14;571;"cooperate";"defect";0;5
"572";3;16;572;"defect";"cooperate";5;0
"573";13;1;573;"cooperate";"cooperate";4;4
"574";7;12;574;"cooperate";"defect";0;5
"575";8;11;575;"cooperate";"cooperate";4;4
"576";4;2;576;"cooperate";"cooperate";4;4
"577";15;11;577;"cooperate";"cooperate";4;4
"578";10;9;578;"cooperate";"defect";0;5
"579";5;16;579;"cooperate";"cooperate";4;4
"580";3;8;580;"defect";"defect";2;2
"581";4;1;581;"cooperate";"cooperate";4;4
"582";2;6;582;"cooperate";"defect";0;5
"583";14;7;583;"cooperate";"cooperate";4;4
"584";13;12;584;"cooperate";"cooperate";4;4
